epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,722.713,0.72629,0.36496,1.05101,0.96463,0.97667,0.98738,0.78136,0.85205,0.37595,1.21309,0.000742625,0.000742625,0.000742625
43,759.697,0.74261,0.37187,1.05643,0.96563,0.98021,0.99003,0.80548,0.81634,0.36434,1.16381,0.00073025,0.00073025,0.00073025
44,795.871,0.73213,0.36917,1.0496,0.97758,0.97604,0.99177,0.81852,0.77911,0.34582,1.12779,0.000717875,0.000717875,0.000717875
45,831.896,0.72247,0.3568,1.04382,0.97597,0.97396,0.98773,0.80725,0.78771,0.35268,1.16124,0.0007055,0.0007055,0.0007055
46,866.679,0.72941,0.35966,1.04304,0.97504,0.97708,0.99043,0.80305,0.79824,0.35696,1.15941,0.000693125,0.000693125,0.000693125
47,901.331,0.7322,0.36302,1.05088,0.97336,0.98171,0.99257,0.80432,0.80125,0.33267,1.14482,0.00068075,0.00068075,0.00068075
48,935.699,0.70991,0.34935,1.03921,0.96025,0.975,0.98741,0.80654,0.78384,0.36482,1.16636,0.000668375,0.000668375,0.000668375
49,969.736,0.70462,0.34747,1.04095,0.97338,0.9817,0.99193,0.81649,0.79051,0.34166,1.17322,0.000656,0.000656,0.000656
50,1003.68,0.69841,0.33839,1.0308,0.96884,0.97917,0.99122,0.81153,0.78634,0.35044,1.15254,0.000643625,0.000643625,0.000643625
51,1037.26,0.70193,0.34124,1.03579,0.97093,0.97493,0.98987,0.80958,0.78781,0.34161,1.16228,0.00063125,0.00063125,0.00063125
52,1070.76,0.69581,0.3433,1.03249,0.97392,0.95937,0.98415,0.79166,0.81965,0.3678,1.17756,0.000618875,0.000618875,0.000618875
53,1104.3,0.70191,0.34122,1.03152,0.98652,0.9875,0.99189,0.81211,0.77381,0.30734,1.14441,0.0006065,0.0006065,0.0006065
54,1137.68,0.68283,0.33909,1.02462,0.96472,0.97963,0.98881,0.80626,0.79409,0.34845,1.16567,0.000594125,0.000594125,0.000594125
55,1170.53,0.68382,0.33381,1.0309,0.9727,0.96354,0.98855,0.8145,0.77401,0.36024,1.15389,0.00058175,0.00058175,0.00058175
56,1203.45,0.67212,0.33374,1.01747,0.99053,0.98333,0.99258,0.81332,0.7831,0.31674,1.14951,0.000569375,0.000569375,0.000569375
57,1236.4,0.68935,0.33463,1.0243,0.97186,0.99583,0.99387,0.81716,0.76731,0.30942,1.13315,0.000557,0.000557,0.000557
58,1269.44,0.66509,0.32209,1.01554,0.97478,0.98593,0.99262,0.81892,0.76563,0.31472,1.13295,0.000544625,0.000544625,0.000544625
59,1302.33,0.66709,0.32695,1.01964,0.96903,0.97741,0.9901,0.81401,0.7797,0.337,1.15102,0.00053225,0.00053225,0.00053225
60,1335.55,0.66975,0.32619,1.011,0.97595,0.9794,0.99095,0.82211,0.76513,0.32218,1.13947,0.000519875,0.000519875,0.000519875
61,1368.83,0.67773,0.33118,1.01923,0.96752,0.975,0.98774,0.82364,0.76155,0.35227,1.13636,0.0005075,0.0005075,0.0005075
62,1401.97,0.64798,0.31699,1.0023,0.97687,0.96875,0.98775,0.81886,0.77439,0.33118,1.15124,0.000495125,0.000495125,0.000495125
63,1434.87,0.65329,0.31664,1.01106,0.96517,0.97588,0.98192,0.81552,0.76083,0.34785,1.14039,0.00048275,0.00048275,0.00048275
64,1467.81,0.64993,0.32054,1.00622,0.97235,0.98258,0.99121,0.8236,0.76367,0.32204,1.14172,0.000470375,0.000470375,0.000470375
65,1500.58,0.63827,0.31103,0.99921,0.98551,0.98646,0.99319,0.83162,0.74698,0.2988,1.12862,0.000458,0.000458,0.000458
66,1533.43,0.6355,0.3091,0.99752,0.97012,0.975,0.98952,0.82144,0.76997,0.33432,1.15507,0.000445625,0.000445625,0.000445625
67,1566.12,0.63994,0.31021,1.00573,0.96829,0.96059,0.98277,0.8172,0.7741,0.36098,1.16028,0.00043325,0.00043325,0.00043325
68,1598.94,0.62945,0.3046,0.99638,0.98218,0.97532,0.98877,0.82597,0.75443,0.31804,1.14067,0.000420875,0.000420875,0.000420875
69,1631.53,0.64091,0.31348,1.00552,0.9752,0.96871,0.98624,0.82183,0.76548,0.33126,1.13059,0.0004085,0.0004085,0.0004085
70,1664.22,0.63285,0.30486,0.99699,0.98062,0.98045,0.99131,0.82735,0.75725,0.31541,1.14318,0.000396125,0.000396125,0.000396125
71,1696.8,0.6239,0.30185,0.99293,0.97838,0.97116,0.98904,0.82532,0.75702,0.32968,1.14649,0.00038375,0.00038375,0.00038375
72,1729.93,0.62366,0.30157,0.99263,0.96626,0.98719,0.99178,0.82601,0.75694,0.31357,1.12555,0.000371375,0.000371375,0.000371375
73,1762.63,0.61963,0.29765,0.98048,0.97793,0.96026,0.98665,0.8232,0.74164,0.32502,1.11244,0.000359,0.000359,0.000359
74,1795.1,0.61714,0.30016,0.98802,0.9765,0.97504,0.98863,0.82184,0.75937,0.32393,1.12786,0.000346625,0.000346625,0.000346625
75,1827.53,0.61469,0.29616,0.98386,0.9732,0.97268,0.98357,0.82241,0.76157,0.33327,1.14092,0.00033425,0.00033425,0.00033425
76,1859.74,0.61193,0.29494,0.9819,0.97939,0.97559,0.9896,0.82722,0.74258,0.31372,1.10895,0.000321875,0.000321875,0.000321875
77,1892.29,0.60654,0.29088,0.98041,0.9705,0.9789,0.98968,0.82342,0.75985,0.31901,1.13504,0.0003095,0.0003095,0.0003095
78,1924.79,0.60114,0.28685,0.97967,0.96791,0.97929,0.98797,0.82825,0.74176,0.3202,1.13586,0.000297125,0.000297125,0.000297125
79,1957.35,0.60494,0.28668,0.98178,0.98081,0.97785,0.98861,0.82704,0.7357,0.30363,1.12618,0.00028475,0.00028475,0.00028475
80,1989.94,0.59431,0.28464,0.97829,0.9863,0.98573,0.99143,0.83292,0.74615,0.2933,1.14005,0.000272375,0.000272375,0.000272375
81,2022.68,0.59488,0.28715,0.97902,0.97682,0.98183,0.99109,0.83421,0.73245,0.30354,1.12424,0.00026,0.00026,0.00026
82,2055.18,0.58684,0.28218,0.97851,0.97642,0.98021,0.98871,0.83094,0.73826,0.31032,1.12924,0.000247625,0.000247625,0.000247625
83,2087.33,0.59082,0.28672,0.98151,0.98566,0.9751,0.99026,0.82849,0.74655,0.30508,1.12308,0.00023525,0.00023525,0.00023525
84,2119.71,0.58691,0.27944,0.97638,0.97793,0.98545,0.98982,0.83019,0.73981,0.30305,1.1367,0.000222875,0.000222875,0.000222875
85,2152.16,0.57147,0.27586,0.97151,0.98112,0.98196,0.98902,0.82955,0.74997,0.31119,1.14521,0.0002105,0.0002105,0.0002105
86,2184.33,0.57506,0.2771,0.96018,0.97942,0.97568,0.98914,0.8315,0.73588,0.3083,1.1241,0.000198125,0.000198125,0.000198125
87,2216.45,0.56694,0.27373,0.97144,0.98048,0.97781,0.99012,0.8293,0.74695,0.30898,1.1339,0.00018575,0.00018575,0.00018575
88,2248.74,0.57174,0.27556,0.96867,0.9809,0.98125,0.99114,0.82744,0.73653,0.29835,1.12474,0.000173375,0.000173375,0.000173375
89,2281.08,0.57173,0.27249,0.96602,0.97852,0.97396,0.98852,0.82679,0.7453,0.30863,1.13521,0.000161,0.000161,0.000161
90,2313.46,0.55924,0.26887,0.95316,0.9774,0.96299,0.98567,0.82538,0.73051,0.31764,1.12,0.000148625,0.000148625,0.000148625
91,2384.27,0.47821,0.20956,0.90989,0.97891,0.97648,0.98691,0.83155,0.72599,0.30419,1.12816,0.00013625,0.00013625,0.00013625
92,2415.43,0.46835,0.20652,0.90421,0.98204,0.98053,0.99048,0.83268,0.72831,0.29758,1.13758,0.000123875,0.000123875,0.000123875
93,2446.57,0.47229,0.20476,0.91024,0.98529,0.97949,0.99142,0.83192,0.74091,0.28902,1.14283,0.0001115,0.0001115,0.0001115
94,2477.77,0.46566,0.20474,0.91066,0.9822,0.98569,0.99323,0.83101,0.73866,0.28598,1.13423,9.9125e-05,9.9125e-05,9.9125e-05
95,2509.25,0.45907,0.20218,0.90352,0.98204,0.98438,0.99034,0.8311,0.73286,0.2889,1.13141,8.675e-05,8.675e-05,8.675e-05
96,2540.67,0.4531,0.1981,0.89332,0.97823,0.98253,0.99128,0.83321,0.72956,0.28773,1.12625,7.4375e-05,7.4375e-05,7.4375e-05
97,2572.36,0.45182,0.19666,0.90008,0.98295,0.97976,0.99008,0.83122,0.72581,0.28874,1.12515,6.2e-05,6.2e-05,6.2e-05
98,2604.08,0.4476,0.19422,0.89323,0.98063,0.97713,0.98915,0.831,0.72721,0.29375,1.12819,4.9625e-05,4.9625e-05,4.9625e-05
99,2636.17,0.44077,0.19204,0.89152,0.98014,0.97988,0.99033,0.83225,0.72706,0.2903,1.133,3.725e-05,3.725e-05,3.725e-05
100,2667.99,0.43738,0.19042,0.89165,0.98095,0.97953,0.99034,0.82906,0.72705,0.2892,1.13502,2.4875e-05,2.4875e-05,2.4875e-05
